job,avgsalary,experience,jobX
Developer  mobileEducator,0,26,10
Developer  mobileEducator,0,27,10
Developer  mobileEducator,0,28,10
Developer  mobileEducator,0,29,10
Developer  mobileEducator,0,3,10
Developer  mobileEducator,0,30,10
Developer  mobileEducator,0,31,10
Developer  mobileEducator,0,32,10
Developer  mobileEducator,0,33,10
Developer  mobileEducator,0,34,10
Developer  mobileEducator,0,35,10
Developer  mobileEducator,0,36,10
Developer  mobileEducator,0,37,10
Developer  mobileEducator,0,38,10
Developer  mobileEducator,0,39,10
Developer  mobileEducator,0,4,10
Developer  mobileEducator,0,40,10
Developer  mobileEducator,0,41,10
Developer  mobileEducator,0,42,10
Developer  mobileEducator,0,43,10
Developer  mobileEducator,0,44,10
Developer  mobileEducator,0,45,10
Developer  mobileEducator,0,46,10
Developer  mobileEducator,0,47,10
Developer  mobileEducator,0,48,10
Developer  mobileEducator,0,49,10
Developer  mobileEducator,0,5,10
Developer  mobileEducator,0,50,10
Developer  mobileEducator,0,6,10
Developer  mobileEducator,0,7,10
Developer  mobileEducator,0,8,10
Developer  mobileEducator,0,9,10
Developer  mobileEducator,0,0.5,10
Developer  mobileEducator,0,60,10
Engineering manager,66840,1,11
Engineering manager,124435,10,11
Engineering manager,128884,11,11
Engineering manager,123660,12,11
Engineering manager,115093,13,11
Engineering manager,113041,14,11
Engineering manager,128330,15,11
Engineering manager,122953,16,11
Engineering manager,126519,17,11
Engineering manager,136106,18,11
Engineering manager,143454,19,11
Engineering manager,93746,2,11
Engineering manager,129802,20,11
Engineering manager,135672,21,11
Engineering manager,151989,22,11
Engineering manager,140968,23,11
Engineering manager,143669,24,11
Engineering manager,143141,25,11
Engineering manager,182902,26,11
Engineering manager,141744,27,11
Engineering manager,193820,28,11
Engineering manager,113532,29,11
Engineering manager,139872,3,11
Engineering manager,158116,30,11
Engineering manager,199046,31,11
Engineering manager,121094,32,11
Engineering manager,186733,33,11
Engineering manager,140852,34,11
Engineering manager,142634,35,11
Engineering manager,136549,36,11
Engineering manager,186910,37,11
Engineering manager,207129,38,11
Engineering manager,145539,39,11
Engineering manager,63263,4,11
Engineering manager,149475,40,11
Engineering manager,163117,41,11
Engineering manager,152415,42,11
Engineering manager,119971,43,11
Engineering manager,192000,44,11
Engineering manager,370317,45,11
Engineering manager,200000,46,11
Engineering manager,63984,47,11
Engineering manager,265400,48,11
Engineering manager,298750,49,11
Engineering manager,67275,5,11
Engineering manager,0,50,11
Engineering manager,96339,6,11
Engineering manager,125759,7,11
Engineering manager,133898,8,11
Engineering manager,96718,9,11
Engineering manager,21768,0.5,11
Engineering manager,154923,60,11
