orgsize,salary
10 to 19 employees,74651
100 to 499 employees,46070
20 to 99 employees,175000
100 to 499 employees,144787
20 to 99 employees,44232
500 to 999 employees,43524
100 to 499 employees,65000
10000 or more employees,113795
20 to 99 employees,53322
10 to 19 employees,130000
100 to 499 employees,61428
10000 or more employees,400000
100 to 499 employees,160000
5000 to 9999 employees,102204
20 to 99 employees,18708
1000 to 4999 employees,63986
10000 or more employees,95000
100 to 499 employees,103024
20 to 99 employees,195000
20 to 99 employees,69318
100 to 499 employees,186155
10000 or more employees,62000
100 to 499 employees,75156
1000 to 4999 employees,125639
1000 to 4999 employees,94644
20 to 99 employees,185000
1000 to 4999 employees,70276
20 to 99 employees,34620
20 to 99 employees,68000
2 to 9 employees,87756
20 to 99 employees,79983
20 to 99 employees,58872
100 to 499 employees,50256
20 to 99 employees,130000
20 to 99 employees,200000
500 to 999 employees,111000
10000 or more employees,200000
2 to 9 employees,60000
10 to 19 employees,52764
10000 or more employees,55032
100 to 499 employees,11520
100 to 499 employees,62412
2 to 9 employees,399914
2 to 9 employees,53322
1000 to 4999 employees,70000
20 to 99 employees,47990
1000 to 4999 employees,51768
500 to 999 employees,120000
20 to 99 employees,63984
500 to 999 employees,92334
100 to 499 employees,155000
20 to 99 employees,108
10 to 19 employees,180000
Just me,128904
100 to 499 employees,62467
100 to 499 employees,130000
20 to 99 employees,98520
100 to 499 employees,101509
100 to 499 employees,63453
20 to 99 employees,36492
500 to 999 employees,177000
2 to 9 employees,65388
10000 or more employees,165000
20 to 99 employees,151992
20 to 99 employees,105000
20 to 99 employees,110000
100 to 499 employees,43974
20 to 99 employees,69318
1000 to 4999 employees,73000
20 to 99 employees,94829
100 to 499 employees,70385
20 to 99 employees,79236
5000 to 9999 employees,15036
5000 to 9999 employees,15168
100 to 499 employees,135000
1000 to 4999 employees,75705
10000 or more employees,106644
2 to 9 employees,27084
I don’t know,154000
500 to 999 employees,101509
500 to 999 employees,225000
20 to 99 employees,45888
20 to 99 employees,106274
1000 to 4999 employees,152000
5000 to 9999 employees,46487
100 to 499 employees,59050
500 to 999 employees,200000
10 to 19 employees,68324
100 to 499 employees,58563
10000 or more employees,80000
10000 or more employees,99000
100 to 499 employees,33480
100 to 499 employees,59508
500 to 999 employees,260000
10000 or more employees,75384
10 to 19 employees,51192
20 to 99 employees,66000
1000 to 4999 employees,53322
20 to 99 employees,54388
10000 or more employees,250000
100 to 499 employees,115500
5000 to 9999 employees,300000
10 to 19 employees,195210
500 to 999 employees,71614
500 to 999 employees,150000
1000 to 4999 employees,92700
20 to 99 employees,48996
100 to 499 employees,63986
100 to 499 employees,57794
100 to 499 employees,53628
20 to 99 employees,130000
1000 to 4999 employees,60000
10000 or more employees,44790
1000 to 4999 employees,123000
10000 or more employees,190000
10000 or more employees,96000
100 to 499 employees,79236
1000 to 4999 employees,82116
10000 or more employees,136308
20 to 99 employees,35832
500 to 999 employees,228800
10 to 19 employees,85315
20 to 99 employees,41556
10 to 19 employees,90067
10000 or more employees,115000
20 to 99 employees,120000
2 to 9 employees,72000
10000 or more employees,82000
Just me,140772
1000 to 4999 employees,76783
1000 to 4999 employees,64486
10000 or more employees,131921
20 to 99 employees,38692
2 to 9 employees,44796
100 to 499 employees,72871
10 to 19 employees,135100
10000 or more employees,70935
2 to 9 employees,100625
5000 to 9999 employees,47364
100 to 499 employees,106000
10000 or more employees,135000
20 to 99 employees,33060
10000 or more employees,107000
100 to 499 employees,56952
100 to 499 employees,132000
5000 to 9999 employees,130000
20 to 99 employees,80623
500 to 999 employees,220000
100 to 499 employees,250000
20 to 99 employees,80000
100 to 499 employees,150000
100 to 499 employees,230000
100 to 499 employees,73140
10000 or more employees,50256
20 to 99 employees,78916
100 to 499 employees,51192
500 to 999 employees,62340
20 to 99 employees,62467
100 to 499 employees,60800
20 to 99 employees,126000
20 to 99 employees,34548
10000 or more employees,101000
I don’t know,75000
500 to 999 employees,188459
20 to 99 employees,93846
10000 or more employees,67845
100 to 499 employees,115000
5000 to 9999 employees,110000
20 to 99 employees,62467
500 to 999 employees,114000
20 to 99 employees,81666
1000 to 4999 employees,65332
2 to 9 employees,19200
100 to 499 employees,49956
5000 to 9999 employees,134445
2 to 9 employees,19200
2 to 9 employees,130000
10 to 19 employees,210000
100 to 499 employees,101312
100 to 499 employees,82922
1000 to 4999 employees,83182
100 to 499 employees,110000
100 to 499 employees,89580
500 to 999 employees,113075
500 to 999 employees,63986
100 to 499 employees,46487
5000 to 9999 employees,79983
10000 or more employees,187000
